Entity,Code,Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
Africa,,1965,0,0,0,38.62676444,0,9.543754167,323.4961383,327.3331644,0
Africa,,1966,0,0,0,43.08334472,0,10.66991611,323.1221933,358.1326739,0
Africa,,1967,0,0,0,44.97399,0,10.54566972,330.2915847,355.2814586,0
Africa,,1968,0,0,0,52.60650167,0,10.68896972,343.5129108,374.8521306,0
Africa,,1969,0,0,0,61.39136,0,12.49199972,346.6429217,379.9730861,0
Africa,,1970,0,0,0,76.75119389,0,15.520325,360.7568994,419.8099003,0
Africa,,1971,0,0,0,72.25941917,0,18.40526361,383.0123186,474.4581836,0.164
Africa,,1972,0,0,0,82.31443444,0,24.67065694,384.2108033,514.2536772,0.165
Africa,,1973,0,0,0,87.07141,0,39.55179139,408.9103533,553.1083622,0.17
Africa,,1974,0,0,0,99.07520639,0,44.5184875,425.6462261,572.2501369,0.175
Africa,,1975,0,0,0,104.7721389,0,53.6383775,451.0805036,598.79114,0.172
Africa,,1976,0,0,0,116.1045367,0,60.98139,481.0741561,664.2742522,0.185
Africa,,1977,0,0,0,127.5799114,0,68.23419083,491.698455,703.3731814,0.189
Africa,,1978,0,0,0,128.6303853,0,97.36989778,477.8155828,740.6251911,0.195
Africa,,1979,0,0,0,137.6812028,0,148.8428158,507.2469964,789.8455275,0.201
Africa,,1980,0,0,0,134.1994011,0,186.9139772,543.5570594,835.2707033,0.207
Africa,,1981,0,0,0,139.4247392,0,228.4911561,635.7987833,887.8791961,0.218
Africa,,1982,0,0,0,139.4617697,0,246.7335486,701.1758825,932.2492286,0.236
Africa,,1983,0,0,0,125.6865558,0,271.2753469,713.2460472,963.1884742,0.23
Africa,,1984,0,0,0,123.5832592,10.90277778,259.9027806,762.8978717,985.0113428,0.234
Africa,,1985,0,0,0,137.3602364,14.76388889,278.8427469,787.1658894,1007.608725,0.269
Africa,,1986,0,0,0,142.0704814,24.45277778,313.2712025,805.3560964,992.4227592,0.659
