Entity,Code,Year,Solar,Wind,Hydro,Nuclear,Fossil Fuels,Gas,Coal,Oil,Geo Biomass Other,Biofuels,Total
South Korea,KOR,1965,0,0,1.973408333,0,72.71634472,0,57.59176,15.12458472,0,0,74.68975305
South Korea,KOR,1966,0,0,2.737005556,0,87.8547525,0,65.20941,22.6453425,0,0,90.59175806
South Korea,KOR,1967,0,0,2.647697222,0,101.4660131,0,62.20887,39.25714306,0,0,104.1137103
South Korea,KOR,1968,0,0,2.581897222,0,116.7711789,0,58.7315,58.03967889,0,0,119.3530761
South Korea,KOR,1969,0,0,3.968088889,0,140.1074561,0,61.33662,78.77083611,0,0,144.075545
South Korea,KOR,1970,0,0,3.390788889,0,163.8562472,0,65.46527,98.39097722,0,0,167.2470361
South Korea,KOR,1971,0,0,3.6666,0,177.2870314,0,66.16307,111.1239614,0,0,180.9536314
South Korea,KOR,1972,0,0,3.800211111,0,183.8074961,0,67.81453,115.9929661,0,0,187.6077072
South Korea,KOR,1973,0,0,3.567958333,0,228.5391617,0,85.75962,142.7795417,0,0,232.10712
South Korea,KOR,1974,0,0,5.29405,0,235.9340928,0,88.44615,147.4879428,0,0,241.2281428
South Korea,KOR,1975,0,0,4.674469444,0,260.6210703,0,93.44705,167.1740203,0,0,265.2955397
South Korea,KOR,1976,0,0,4.968502778,0,291.8415294,0,104.16991,187.6716194,0,0,296.8100322
South Korea,KOR,1977,0,0,3.868691667,0.198516667,337.3281139,0,113.71814,223.6099739,0,0,341.3953222
South Korea,KOR,1978,0,0,5.0209,6.4566,370.7651289,0,115.06722,255.6979089,0,0,382.2426289
South Korea,KOR,1979,0,0,6.378244444,8.755288889,425.4183611,0,137.73409,287.6842711,0,0,440.5518944
South Korea,KOR,1980,0,0,5.334375,9.658761111,438.4869128,0,153.50437,284.9825428,0,0,453.4800489
South Korea,KOR,1981,0,0,7.215852778,8.047791667,459.4368247,0,177.2900461,282.1467786,0,0,474.7004691
South Korea,KOR,1982,0,0,4.764894444,10.49246944,459.758875,0,179.6904781,280.0683969,0,0,475.0162389
South Korea,KOR,1983,0,0,6.372752778,24.90293889,484.8225617,0,191.7914931,293.0310686,0,0,516.0982534
South Korea,KOR,1984,0,0,5.550397222,32.75571944,525.3435347,0,231.05321,294.2903247,0,0,563.6496514
South Korea,KOR,1985,0,0,8.847127778,46.51483611,567.2364756,0,256.1170231,311.1194525,0,0,622.5984395
